CODE,ค่าแรง,ตำแหน่ง/แผนก,เพศ,Year,Quarter,Month,Day,วุฒิ,ศาสนา,สัญชาติ,อายุ,อายุงาน(เดือน),อายุงาน(ปี),อายุงาน(วัน),วันที่ลาออก,เหตุผล,สถานะ (groups)
G055,331,กลึง,ช,2563,Qtr 3,September,2,ม.3,พุทธ,ไทย,23,11,0,29,8/31/2564,ได้งานใหม่,ลาออก
G056,331,กลึง,ช,2563,Qtr 3,September,7,ม.3,พุทธ,ไทย,31,0,0,5,9/12/2563,ได้งานใหม่,ลาออก
G057,331,กลึง,ช,2563,Qtr 3,September,22,ปวส.,พุทธ,ไทย,45,1,0,9,10/31/2563,ได้งานใหม่,ลาออก
G058,331,กลึง,ญ,2563,Qtr 3,September,22,ม.6,พุทธ,ไทย,35,0,0,27,10/19/2563,ได้งานใหม่,ลาออก
G059,331,กลึง,ช,2563,Qtr 4,October,1,ม.3,พุทธ,ไทย,28,3,0,29,1/30/2564,ได้งานใหม่,ลาออก
G060,331,กลึง,ญ,2563,Qtr 4,October,19,ป.6,พุทธ,ไทย,47,1,0,11,11/30/2563,ได้งานใหม่,ลาออก
G061,331,กลึง,ญ,2563,Qtr 4,November,23,ม.3,พุทธ,ไทย,29,5,0,1,4/24/2564,ได้งานใหม่,ลาออก
G062,331,กลึง,ญ,2561,Qtr 1,January,16,ป.6,พุทธ,พม่า,35,4,3,2,5/18/2564,ได้งานใหม่,ลาออก
G063,331,กลึง,ญ,2562,Qtr 3,July,4,ป.6,พุทธ,พม่า,24,4,3,29,0,ทำงาน,ทำงาน
G064,331,กลึง,ญ,2562,Qtr 3,August,3,ปวช.,พุทธ,ไทย,24,3,3,23,0,ทำงาน,ทำงาน
G065,331,กลึง,ช,2564,Qtr 1,January,15,ม.3,พุทธ,ไทย,32,2,1,1,3/16/2565,ได้งานใหม่,ลาออก
G066,331,กลึง,ญ,2564,Qtr 2,May,10,ป.6,พุทธ,พม่า,27,6,1,5,0,ทำงาน,ทำงาน
G067,331,กลึง,ญ,2564,Qtr 2,June,3,ป.6,พุทธ,พม่า,26,2,1,24,8/27/2565,กลับบ้าน,ลาออก
G068,331,กลึง,ช,2564,Qtr 3,July,5,ป.6,พุทธ,พม่า,34,4,1,21,0,ทำงาน,ทำงาน
G069,331,กลึง,ญ,2564,Qtr 2,May,10,ป.6,พุทธ,พม่า,26,6,1,5,0,ทำงาน,ทำงาน
G070,331,กลึง,ญ,2564,Qtr 2,May,10,ป.6,พุทธ,พม่า,34,6,1,5,0,ทำงาน,ทำงาน
G071,331,กลึง,ช,2565,Qtr 1,January,4,ม.3,พุทธ,ไทย,17,10,0,22,0,ทำงาน,ทำงาน
G072,331,กลึง,ช,2565,Qtr 2,May,19,ม.3,พุทธ,ไทย,29,6,0,7,0,ทำงาน,ทำงาน
G073,331,กลึง,ช,2565,Qtr 3,September,6,ม.3,พุทธ,ไทย,31,2,0,20,0,ทำงาน,ทำงาน
G074,,กลึง,ช,2565,Qtr 3,September,26,ป.ตรี,พุทธ,ไทย,33,2,0,0,11/24/2565,รักษาตัว,ลาออก
H001,,อื่น ๆ รง.,ช,2546,Qtr 3,September,20,ม.6,พุทธ,ไทย,40,2,19,0,0,ทำงาน,ทำงาน
H002,,milling,ช,2554,Qtr 2,June,5,ปวส.,พุทธ,ไทย,39,5,11,21,0,ทำงาน,ทำงาน
H003,,milling,ช,2554,Qtr 2,June,5,ม.3,พุทธ,ไทย,31,4,7,26,10/31/2561,กลับบ้าน,ลาออก
H004,,อื่น ๆ รง.,ช,2554,Qtr 2,April,19,ม.6,พุทธ,ไทย,34,7,11,7,0,ทำงาน,ทำงาน
H005,,อื่น ๆ รง.,ช,2554,Qtr 2,June,5,ป.6,พุทธ,ไทย,30,5,11,21,0,ทำงาน,ทำงาน
H006,,อื่น ๆ รง.,ช,2554,Qtr 1,January,23,ม.3,พุทธ,ไทย,32,10,11,3,0,ทำงาน,ทำงาน
H007,,อื่น ๆ รง.,ช,2554,Qtr 2,June,5,ปวส.,พุทธ,ไทย,29,5,11,21,0,ทำงาน,ทำงาน
H008,,milling,ช,2554,Qtr 2,May,8,ม.3,พุทธ,ไทย,30,6,11,18,0,ทำงาน,ทำงาน
H009,,milling,ช,2556,Qtr 3,September,9,ปวส.,พุทธ,ไทย,32,2,9,17,0,ทำงาน,ทำงาน
H010,,milling,ช,2558,Qtr 1,January,5,ป.6,พุทธ,ไทย,29,6,5,26,7/31/2563,ได้งานใหม่,ลาออก
H011,,milling,ช,2558,Qtr 3,July,6,ม.6,พุทธ,ไทย,25,4,7,20,0,ทำงาน,ทำงาน
H012,,milling,ช,2560,Qtr 1,January,9,ม.3,พุทธ,ไทย,34,0,2,22,1/31/2562,รักษาตัว,ลาออก
H013,,milling,ช,2560,Qtr 1,March,6,ป.ตรี,พุทธ,ไทย,39,8,5,20,0,ทำงาน,ทำงาน
H014,,milling,ช,2560,Qtr 2,April,18,ป.6,พุทธ,ไทย,21,5,3,21,10/9/2563,กฏระเบียบ,ลาออก
H015,,milling,ช,2560,Qtr 4,October,2,ปวส.,พุทธ,ไทย,33,3,1,29,1/31/2562,ได้งานใหม่,ลาออก
H016,,milling,ช,2560,Qtr 1,February,2,ป.6,พุทธ,พม่า,27,3,4,29,5/31/2564,กลับบ้าน,ลาออก
H017,,milling,ช,2562,Qtr 4,November,1,ม.6,พุทธ,ไทย,26,0,3,25,11/1/2562,รักษาตัว,ลาออก
H018,,milling,ช,2561,Qtr 2,April,19,ปวส.,พุทธ,ไทย,27,1,3,24,6/12/2564,ได้งานใหม่,ลาออก
H019,,milling,ช,2561,Qtr 2,May,2,ป.ตรี,พุทธ,ไทย,41,2,1,29,7/31/2562,ได้งานใหม่,ลาออก
H020,,milling,ช,2561,Qtr 2,May,15,ม.3,พุทธ,ไทย,35,5,0,16,10/31/2561,กลับบ้าน,ลาออก
H021,,milling,ช,2561,Qtr 2,June,19,ปวช.,พุทธ,ไทย,33,5,2,19,12/8/2563,กลับบ้าน,ลาออก
H022,,milling,ช,2559,Qtr 2,May,17,ม.3,พุทธ,ไทย,23,11,3,13,4/30/2563,กลับบ้าน,ลาออก
H023,,milling,ช,2560,Qtr 3,July,6,ปวส.,พุทธ,ไทย,29,10,2,25,5/31/2563,ได้งานใหม่,ลาออก
H024,,milling,ช,2561,Qtr 2,April,13,ม.3,พุทธ,ไทย,36,4,0,8,8/31/2561,กลับบ้าน,ลาออก
H025,,milling,ช,2555,Qtr 1,January,16,ป.ตรี,พุทธ,ไทย,35,10,10,10,0,ทำงาน,ทำงาน
H026,,milling,ช,2556,Qtr 1,March,1,ม.6,พุทธ,ไทย,35,8,9,25,0,ทำงาน,ทำงาน
H027,,milling,ช,2560,Qtr 4,October,10,ป.6,พุทธ,พม่า,49,7,3,21,5/31/2564,กลับบ้าน,ลาออก
H028,,Manual,ช,2556,Qtr 3,July,15,ป.6,พุทธ,ไทย,57,4,9,11,0,ทำงาน,ทำงาน
H029,,milling,ช,2554,Qtr 1,January,23,ม.3,พุทธ,ไทย,41,3,9,7,4/30/2563,รักษาตัว,ลาออก
H030,,milling,ช,2560,Qtr 1,March,6,ม.3,พุทธ,ไทย,40,6,1,24,9/30/2561,ได้งานใหม่,ลาออก
H031,,milling,ช,2561,Qtr 3,August,7,ปวช.,พุทธ,ไทย,36,11,0,24,7/31/2562,ได้งานใหม่,ลาออก
H032,,milling,ช,2561,Qtr 1,January,28,ม.3,พุทธ,ไทย,44,5,0,5,1/26/2562,ได้งานใหม่,ลาออก
H033,,milling,ช,2561,Qtr 3,August,1,ปวช.,พุทธ,ไทย,23,2,2,8,10/9/2563,ได้งานใหม่,ลาออก
H034,,milling,ช,2561,Qtr 3,August,29,ปวส.,พุทธ,ไทย,28,2,0,19,11/17/2561,ได้งานใหม่,ลาออก
H035,,milling,ช,2561,Qtr 3,August,29,ปวส.,พุทธ,ไทย,26,9,1,7,6/5/2563,ได้งานใหม่,ลาออก
H036,,milling,ช,2561,Qtr 3,September,25,ม.3,พุทธ,ไทย,24,0,0,20,10/15/2561,ได้งานใหม่,ลาออก
H037,,milling,ช,2561,Qtr 4,October,10,ป.6,พุทธ,พม่า,42,7,2,21,5/31/2564,กลับบ้าน,ลาออก
H038,,milling,ช,2561,Qtr 4,October,24,ม.6,พุทธ,ไทย,39,1,4,2,0,ทำงาน,ทำงาน
H039,,milling,ช,2561,Qtr 4,November,28,ป.6,พุทธ,ไทย,38,1,0,0,12/28/2561,ได้งานใหม่,ลาออก
H040,,milling,ช,2562,Qtr 1,January,5,ม.6,พุทธ,ไทย,23,2,0,26,3/31/2562,ได้งานใหม่,ลาออก
H041,,milling,ช,2562,Qtr 1,January,10,ม.3,พุทธ,ไทย,42,0,0,4,1/14/2562,ได้งานใหม่,ลาออก
H042,,milling,ช,2562,Qtr 1,January,12,ป.6,พุทธ,ไทย,23,4,1,19,5/31/2563,ได้งานใหม่,ลาออก
H043,,milling,ช,2562,Qtr 1,January,14,ปวส.,พุทธ,ไทย,24,9,0,17,10/31/2562,ได้งานใหม่,ลาออก
H044,,milling,ช,2562,Qtr 1,January,25,ปวส.,พุทธ,ไทย,29,4,1,6,5/31/2563,ได้งานใหม่,ลาออก
H045,,milling,ช,2554,Qtr 2,June,5,ป.ตรี,พุทธ,ไทย,45,5,11,21,0,ทำงาน,ทำงาน
H046,,milling,ช,2562,Qtr 1,February,1,ปวส.,พุทธ,ไทย,27,3,0,5,5/6/2562,ได้งานใหม่,ลาออก
H047,,milling,ช,2561,Qtr 4,October,23,ป.6,พุทธ,ไทย,20,7,1,16,6/8/2563,ได้งานใหม่,ลาออก
H048,,milling,ช,2562,Qtr 1,March,15,ม.3,พุทธ,ไทย,23,3,1,15,6/30/2563,ได้งานใหม่,ลาออก
H049,,milling,ช,2562,Qtr 1,March,26,ปวส.,พุทธ,ไทย,34,0,0,4,3/30/2562,ได้งานใหม่,ลาออก
H050,,milling,ช,2558,Qtr 1,January,5,ป.ตรี,พุทธ,ไทย,30,10,7,21,ย้ายแผนก,ทำงาน,ทำงาน
H051,,milling,ช,2562,Qtr 2,June,27,ม.6,พุทธ,ไทย,22,1,0,4,7/31/2562,กลับบ้าน,ลาออก
H052,,milling,ช,2562,Qtr 3,July,1,ปวส.,พุทธ,ไทย,24,1,0,30,8/31/2562,กลับบ้าน,ลาออก
H053,,milling,ช,2562,Qtr 3,July,2,ปวช.,พุทธ,ไทย,32,4,3,24,0,ทำงาน,ทำงาน
H054,,milling,ช,2563,Qtr 1,January,20,ม.6,พุทธ,ไทย,23,2,2,19,4/8/2565,ได้งานใหม่,ลาออก
H055,,milling,ช,2562,Qtr 3,September,2,ป.6,พุทธ,ไทย,26,8,1,12,5/14/2564,ได้งานใหม่,ลาออก
H056,,milling,ช,2562,Qtr 3,September,9,ปวส.,พุทธ,ไทย,23,0,1,12,9/21/2563,ได้งานใหม่,ลาออก
H057,,milling,ช,2562,Qtr 3,September,10,ม.6,พุทธ,ไทย,28,4,0,21,1/31/2563,ได้งานใหม่,ลาออก
H058,,Manual,ช,2563,Qtr 2,May,2,ม.3,พุทธ,ไทย,41,3,0,16,8/18/2563,รักษาตัว,ลาออก
H059,,milling,ช,2563,Qtr 1,February,10,ป.6,พุทธ,ไทย,20,3,0,21,5/31/2563,ได้งานใหม่,ลาออก
H060,,milling,ช,2563,Qtr 2,April,9,ปวช.,พุทธ,ไทย,43,7,1,21,11/30/2564,ได้งานใหม่,ลาออก
H061,,milling,ช,2563,Qtr 3,July,15,ปวช.,พุทธ,ไทย,25,5,1,21,1/5/2565,ได้งานใหม่,ลาออก
H062,,milling,ช,2563,Qtr 3,July,18,ปวช.,พุทธ,ไทย,31,5,0,13,12/31/2563,ได้งานใหม่,ลาออก
